time,# of other packets,# of uplink PG packets,# of downlink PG packets,# of total PG packets,uplink PG BW,downlink PG BW,total PG BW
0,2,0,0,0,0,0,0
1,2,0,0,0,0,0,0
4,2,0,0,0,0,0,0
5,1,0,0,0,0,0,0
7,1,0,0,0,0,0,0
13,3,0,0,0,0,0,0
14,2,0,0,0,0,0,0
15,1,0,0,0,0,0,0
18,0,27,44,71,2532,41833,44365
21,2,6,10,16,1820,1165,2985
22,3,0,0,0,0,0,0
24,1,2,1,3,0,0,0
25,3,4,2,6,436,0,436
26,1,10,13,23,1819,4139,5958
31,1,0,0,0,0,0,0
32,1,0,0,0,0,0,0
34,2,0,0,0,0,0,0
41,2,0,0,0,0,0,0
42,2,0,0,0,0,0,0
43,2,0,0,0,0,0,0
46,3,0,0,0,0,0,0
47,1,0,0,0,0,0,0
48,1,0,0,0,0,0,0
49,1,0,0,0,0,0,0
55,2,0,0,0,0,0,0
61,9,0,0,0,0,0,0
63,2,0,0,0,0,0,0
64,2,0,0,0,0,0,0
67,2,0,0,0,0,0,0
73,4,0,0,0,0,0,0
74,4,0,0,0,0,0,0
76,2,0,0,0,0,0,0
77,2,0,0,0,0,0,0
84,2,0,0,0,0,0,0
86,6,2,2,4,0,0,0
87,4,7,6,13,779,147,926
88,0,5,5,10,1953,669,2622
89,2,0,0,0,0,0,0
91,2,0,0,0,0,0,0
98,2,0,0,0,0,0,0
99,1,0,0,0,0,0,0
100,2,4,4,8,2197,0,2197
101,2,10,15,25,1426,5750,7176
102,1,0,0,0,0,0,0
103,1,0,0,0,0,0,0
104,1,0,0,0,0,0,0
106,2,0,0,0,0,0,0
107,2,0,0,0,0,0,0
108,1,0,0,0,0,0,0
109,1,0,0,0,0,0,0
110,2,0,0,0,0,0,0
113,4,0,0,0,0,0,0
117,2,0,0,0,0,0,0
119,2,0,0,0,0,0,0
125,1,0,0,0,0,0,0
126,1,0,0,0,0,0,0
127,2,0,0,0,0,0,0
128,2,0,0,0,0,0,0
130,0,5,5,10,2620,0,2620
131,2,6,35,41,39,40173,40212
133,0,9,7,16,4245,171,4416
134,2,4,14,18,78,2592,2670
136,2,0,0,0,0,0,0
140,2,0,0,0,0,0,0
141,0,10,40,50,2300,39041,41341
143,2,0,0,0,0,0,0
144,1,0,0,0,0,0,0
146,2,0,0,0,0,0,0
147,1,0,0,0,0,0,0
148,2,3,3,6,0,0,0
149,3,0,0,0,0,0,0
150,2,8,7,15,561,397,958
151,2,2,2,4,1401,169,1570
152,3,0,0,0,0,0,0
153,1,0,0,0,0,0,0
aggregate,144,1870,215,2085,22460,136246,158706
average,0.941176,12.2222,1.40523,13.6275,146.797,890.497,1037.29
