time,# of other packets,# of uplink PG packets,# of downlink PG packets,# of total PG packets,uplink PG BW,downlink PG BW,total PG BW
0,7,0,0,0,0,0,0
5,3,0,0,0,0,0,0
8,1,0,0,0,0,0,0
9,2,0,0,0,0,0,0
12,27,0,0,0,0,0,0
13,212,0,0,0,0,0,0
14,243,0,0,0,0,0,0
15,302,0,0,0,0,0,0
16,116,0,0,0,0,0,0
17,21,0,0,0,0,0,0
18,36,0,0,0,0,0,0
19,10,0,0,0,0,0,0
20,4,32,49,81,5403,41940,47343
21,6,0,0,0,0,0,0
22,65,0,0,0,0,0,0
23,23,0,0,0,0,0,0
24,35,0,0,0,0,0,0
25,5,0,0,0,0,0,0
26,6,0,0,0,0,0,0
28,1,0,0,0,0,0,0
30,7,0,0,0,0,0,0
31,9,0,0,0,0,0,0
32,1,0,0,0,0,0,0
34,1,0,0,0,0,0,0
38,2,0,0,0,0,0,0
39,3,0,0,0,0,0,0
42,2,0,0,0,0,0,0
43,1,0,0,0,0,0,0
46,14,0,0,0,0,0,0
48,18,0,0,0,0,0,0
49,36,0,0,0,0,0,0
50,12,0,0,0,0,0,0
51,20,0,0,0,0,0,0
52,26,0,0,0,0,0,0
56,34,2,2,4,0,0,0
57,21,12,11,23,3724,566,4290
58,41,0,0,0,0,0,0
59,26,0,0,0,0,0,0
60,2,0,0,0,0,0,0
61,4,0,0,0,0,0,0
63,2,0,0,0,0,0,0
65,1,0,0,0,0,0,0
66,1,0,0,0,0,0,0
69,47,0,0,0,0,0,0
70,21,0,0,0,0,0,0
72,2,0,0,0,0,0,0
77,1,0,0,0,0,0,0
78,29,0,0,0,0,0,0
79,88,0,0,0,0,0,0
80,54,0,0,0,0,0,0
81,4,0,0,0,0,0,0
82,12,0,0,0,0,0,0
83,2,0,0,0,0,0,0
84,2,0,0,0,0,0,0
87,13,0,0,0,0,0,0
88,3,0,0,0,0,0,0
92,2,0,0,0,0,0,0
93,2,0,0,0,0,0,0
95,1,0,0,0,0,0,0
96,1,0,0,0,0,0,0
97,1,0,0,0,0,0,0
98,7,0,0,0,0,0,0
99,36,0,0,0,0,0,0
100,0,10,12,22,2475,3586,6061
101,2,0,0,0,0,0,0
102,2,0,0,0,0,0,0
105,2,0,0,0,0,0,0
108,1,0,0,0,0,0,0
109,1,0,0,0,0,0,0
111,10,0,0,0,0,0,0
113,1,0,0,0,0,0,0
114,2,0,0,0,0,0,0
115,2,0,0,0,0,0,0
117,0,2,2,4,0,0,0
118,4,12,13,25,3647,3801,7448
119,0,7,10,17,1676,3280,4956
120,3,0,0,0,0,0,0
121,2,0,0,0,0,0,0
122,2,0,0,0,0,0,0
123,2,0,0,0,0,0,0
124,3,0,0,0,0,0,0
126,4,0,0,0,0,0,0
128,1,0,0,0,0,0,0
129,8,0,0,0,0,0,0
132,1,0,0,0,0,0,0
133,2,0,0,0,0,0,0
134,2,0,0,0,0,0,0
135,14,0,0,0,0,0,0
136,1,0,0,0,0,0,0
137,0,7,10,17,2196,3503,5699
140,0,9,12,21,5861,1096,6957
141,1,2,5,7,39,1826,1865
143,2,0,0,0,0,0,0
144,2,0,0,0,0,0,0
145,1,0,0,0,0,0,0
147,2,0,0,0,0,0,0
149,1,0,0,0,0,0,0
153,1,0,0,0,0,0,0
154,2,0,0,0,0,0,0
155,1,0,0,0,0,0,0
156,2,0,0,0,0,0,0
157,1,0,0,0,0,0,0
158,1,0,0,0,0,0,0
160,2,0,0,0,0,0,0
161,1,0,0,0,0,0,0
162,1,0,0,0,0,0,0
165,2,0,0,0,0,0,0
166,2,0,0,0,0,0,0
167,1,0,0,0,0,0,0
169,11,0,0,0,0,0,0
170,1,4,4,8,2301,0,2301
171,0,4,7,11,39,3830,3869
175,5,0,0,0,0,0,0
178,2,0,0,0,0,0,0
179,0,2,2,4,0,0,0
180,2,10,9,19,1962,566,2528
183,0,10,40,50,2060,38210,40270
186,4,14,22,36,4360,3669,8029
187,4,0,0,0,0,0,0
188,94,0,0,0,0,0,0
190,2,0,0,0,0,0,0
192,1,0,0,0,0,0,0
194,7,0,0,0,0,0,0
195,4,0,0,0,0,0,0
196,1,0,0,0,0,0,0
199,2,0,0,0,0,0,0
206,1,0,0,0,0,0,0
207,2,0,0,0,0,0,0
208,42,0,0,0,0,0,0
209,21,0,0,0,0,0,0
210,77,0,0,0,0,0,0
211,2,0,0,0,0,0,0
213,0,13,42,55,2628,41688,44316
aggregate,2120,442,252,694,38081,147561,185642
average,9.95305,2.07512,1.1831,3.25822,178.784,692.775,871.559
