time,# of other packets,# of uplink PG packets,# of downlink PG packets,# of total PG packets,uplink PG BW,downlink PG BW,total PG BW
0,52,0,0,0,0,0,0
1,7,0,0,0,0,0,0
2,2,0,0,0,0,0,0
5,2,0,0,0,0,0,0
10,0,4,4,8,94,171,265
11,0,1,2,3,39,0,39
12,0,13,42,55,2404,39878,42282
13,2,0,0,0,0,0,0
14,2,0,0,0,0,0,0
19,0,3,3,6,1981,0,1981
20,0,6,12,18,1411,3174,4585
22,2,0,0,0,0,0,0
23,2,0,0,0,0,0,0
25,2,0,0,0,0,0,0
26,2,0,0,0,0,0,0
27,1,0,0,0,0,0,0
29,2,0,0,0,0,0,0
30,2,0,0,0,0,0,0
31,1,0,0,0,0,0,0
33,1,0,0,0,0,0,0
35,2,0,0,0,0,0,0
37,1,0,0,0,0,0,0
41,1,0,0,0,0,0,0
42,1,0,0,0,0,0,0
43,2,0,0,0,0,0,0
44,3,0,0,0,0,0,0
45,2,0,0,0,0,0,0
47,2,2,2,4,0,0,0
48,3,12,11,23,3620,566,4186
49,2,0,0,0,0,0,0
52,1,0,0,0,0,0,0
54,4,0,0,0,0,0,0
55,4,0,0,0,0,0,0
56,13,0,0,0,0,0,0
58,5,0,0,0,0,0,0
61,1,0,0,0,0,0,0
64,2,0,0,0,0,0,0
65,2,0,0,0,0,0,0
67,3,0,0,0,0,0,0
69,1,0,0,0,0,0,0
75,1,0,0,0,0,0,0
76,2,0,0,0,0,0,0
78,2,0,0,0,0,0,0
79,1,0,0,0,0,0,0
80,1,0,0,0,0,0,0
81,1,0,0,0,0,0,0
83,1,0,0,0,0,0,0
85,2,0,0,0,0,0,0
86,3,0,0,0,0,0,0
89,2,0,0,0,0,0,0
90,2,0,0,0,0,0,0
92,1,0,0,0,0,0,0
94,2,0,0,0,0,0,0
95,1,0,0,0,0,0,0
100,1,4,4,8,2557,0,2557
101,0,4,8,12,39,3537,3576
103,7,0,0,0,0,0,0
104,5,0,0,0,0,0,0
105,2,0,0,0,0,0,0
106,2,0,0,0,0,0,0
107,2,0,0,0,0,0,0
109,2,2,2,4,0,0,0
110,130,12,11,23,2098,816,2914
111,17,0,0,0,0,0,0
112,23,0,0,0,0,0,0
113,124,0,0,0,0,0,0
114,38,0,0,0,0,0,0
119,2,0,0,0,0,0,0
120,0,3,3,6,1965,0,1965
121,0,4,8,12,39,3185,3224
127,2,0,0,0,0,0,0
128,2,0,0,0,0,0,0
131,2,0,0,0,0,0,0
140,3,0,0,0,0,0,0
141,0,7,10,17,2196,3491,5687
144,8,0,0,0,0,0,0
148,2,0,0,0,0,0,0
149,4,0,0,0,0,0,0
150,2,0,0,0,0,0,0
152,2,0,0,0,0,0,0
154,4,0,0,0,0,0,0
155,4,0,0,0,0,0,0
158,4,0,0,0,0,0,0
160,0,4,4,8,2109,0,2109
161,2,7,13,20,1443,5453,6896
167,4,0,0,0,0,0,0
169,3,0,0,0,0,0,0
170,3,0,0,0,0,0,0
171,0,2,2,4,0,0,0
172,4,12,11,23,3808,397,4205
173,3,1,1,2,0,169,169
176,1,0,0,0,0,0,0
177,1,0,0,0,0,0,0
180,1,0,0,0,0,0,0
182,2,7,10,17,3430,3244,6674
185,1,0,0,0,0,0,0
189,1,0,0,0,0,0,0
190,2,0,0,0,0,0,0
191,2,16,41,57,3637,38055,41692
192,0,0,1,1,0,0,0
194,5,13,21,34,3077,2612,5689
195,105,0,0,0,0,0,0
196,2,0,0,0,0,0,0
197,1,0,0,0,0,0,0
198,1,0,0,0,0,0,0
199,1,0,0,0,0,0,0
200,1,0,0,0,0,0,0
201,1,10,41,51,2188,39826,42014
202,1,0,0,0,0,0,0
203,2,0,0,0,0,0,0
206,1,0,0,0,0,0,0
210,2,0,0,0,0,0,0
211,1,0,0,0,0,0,0
212,2,0,0,0,0,0,0
213,2,0,0,0,0,0,0
214,1,0,0,0,0,0,0
215,1,0,0,0,0,0,0
216,2,0,0,0,0,0,0
217,1,0,0,0,0,0,0
218,1,0,0,0,0,0,0
219,13,0,0,0,0,0,0
aggregate,730,723,267,990,37561,144574,182135
average,3.33333,3.30137,1.21918,4.52055,171.511,660.155,831.667
