time,# of other packets,# of uplink PG packets,# of downlink PG packets,# of total PG packets,uplink PG BW,downlink PG BW,total PG BW
0,0,3,1,4,2847,0,2847
1,0,5,13,18,78,989,1067
3,2,0,0,0,0,0,0
4,4,0,0,0,0,0,0
7,4,0,0,0,0,0,0
12,2,0,0,0,0,0,0
13,2,0,0,0,0,0,0
15,0,5,5,10,2316,0,2316
16,6,9,36,45,39,40181,40220
21,3,6,9,15,1860,2135,3995
23,1,0,0,0,0,0,0
25,4,0,0,0,0,0,0
26,1,0,0,0,0,0,0
29,1,0,0,0,0,0,0
30,1,0,0,0,0,0,0
33,3,0,0,0,0,0,0
34,2,0,0,0,0,0,0
37,2,0,0,0,0,0,0
39,1,0,0,0,0,0,0
41,0,2,2,4,0,0,0
42,5,2,1,3,0,0,0
43,2,8,8,16,2202,397,2599
44,0,2,2,4,0,338,338
48,3,0,0,0,0,0,0
50,1,0,0,0,0,0,0
54,2,0,0,0,0,0,0
55,2,0,0,0,0,0,0
56,1,0,0,0,0,0,0
58,2,0,0,0,0,0,0
59,1,0,0,0,0,0,0
65,1,0,0,0,0,0,0
67,3,0,0,0,0,0,0
73,1,0,0,0,0,0,0
74,1,0,0,0,0,0,0
75,3,0,0,0,0,0,0
76,2,0,0,0,0,0,0
79,2,0,0,0,0,0,0
82,1,0,0,0,0,0,0
83,1,0,0,0,0,0,0
88,2,0,0,0,0,0,0
97,2,0,0,0,0,0,0
98,2,0,0,0,0,0,0
101,2,0,0,0,0,0,0
102,0,5,5,10,3991,0,3991
103,0,7,9,16,39,3622,3661
104,6,8,9,17,636,3551,4187
105,4,3,3,6,1209,419,1628
107,3,0,0,0,0,0,0
108,6,0,0,0,0,0,0
109,2,0,0,0,0,0,0
110,3,0,0,0,0,0,0
117,4,0,0,0,0,0,0
118,2,0,0,0,0,0,0
119,2,0,0,0,0,0,0
121,0,9,11,20,2099,3457,5556
122,2,5,8,13,1387,2071,3458
128,2,8,12,20,1955,5095,7050
129,2,0,0,0,0,0,0
131,2,0,0,0,0,0,0
132,2,0,0,0,0,0,0
139,2,0,0,0,0,0,0
140,2,0,0,0,0,0,0
141,2,0,0,0,0,0,0
143,2,0,0,0,0,0,0
144,4,0,0,0,0,0,0
150,1,0,0,0,0,0,0
151,1,0,0,0,0,0,0
152,3,13,41,54,2540,41311,43851
154,2,5,4,9,2849,0,2849
155,0,8,18,26,1466,2441,3907
156,1,0,0,0,0,0,0
157,2,0,0,0,0,0,0
159,1,0,0,0,0,0,0
160,2,0,0,0,0,0,0
161,3,0,0,0,0,0,0
164,2,0,0,0,0,0,0
165,0,2,2,4,0,0,0
166,5,13,14,27,3591,3970,7561
167,1,0,0,0,0,0,0
169,3,0,0,0,0,0,0
173,2,0,0,0,0,0,0
175,1,0,0,0,0,0,0
177,1,0,0,0,0,0,0
aggregate,166,1985,213,2198,29247,109977,139224
average,0.937853,11.2147,1.20339,12.4181,165.237,621.339,786.576
