time,# of other packets,# of uplink PG packets,# of downlink PG packets,# of total PG packets,uplink PG BW,downlink PG BW,total PG BW
0,3,0,0,0,0,0,0
1,1,5,5,10,3679,0,3679
2,1,8,39,47,39,41266,41305
3,1,2,2,4,110,0,110
4,0,8,13,21,1795,1138,2933
7,4,0,0,0,0,0,0
8,1,0,0,0,0,0,0
9,1,0,0,0,0,0,0
11,0,24,42,66,2275,39300,41575
13,2,0,0,0,0,0,0
16,2,0,0,0,0,0,0
17,3,0,0,0,0,0,0
20,2,0,0,0,0,0,0
21,0,8,10,18,1916,3396,5312
26,2,0,0,0,0,0,0
29,2,0,0,0,0,0,0
33,41,0,0,0,0,0,0
34,138,0,0,0,0,0,0
35,64,0,0,0,0,0,0
36,6,0,0,0,0,0,0
37,2,0,0,0,0,0,0
38,2,0,0,0,0,0,0
41,2,0,0,0,0,0,0
50,2,0,0,0,0,0,0
54,0,2,2,4,0,0,0
55,2,12,13,25,2381,3970,6351
58,2,0,0,0,0,0,0
59,2,0,0,0,0,0,0
62,2,0,0,0,0,0,0
65,6,0,0,0,0,0,0
66,5,0,0,0,0,0,0
67,4,0,0,0,0,0,0
68,2,0,0,0,0,0,0
70,2,0,0,0,0,0,0
71,4,0,0,0,0,0,0
74,2,0,0,0,0,0,0
77,1,0,0,0,0,0,0
78,2,0,0,0,0,0,0
79,3,0,0,0,0,0,0
80,4,0,0,0,0,0,0
81,2,0,0,0,0,0,0
83,2,0,0,0,0,0,0
85,1,0,0,0,0,0,0
86,1,0,0,0,0,0,0
92,2,7,8,15,1860,1302,3162
94,2,0,0,0,0,0,0
100,16,3,3,6,2069,0,2069
101,16,7,13,20,1395,5507,6902
102,1,0,0,0,0,0,0
103,1,0,0,0,0,0,0
104,2,0,0,0,0,0,0
107,2,0,0,0,0,0,0
108,1,0,0,0,0,0,0
111,2,0,0,0,0,0,0
113,2,0,0,0,0,0,0
115,0,2,2,4,0,0,0
117,4,14,15,29,3591,4634,8225
119,2,0,0,0,0,0,0
120,1,0,0,0,0,0,0
121,5,0,0,0,0,0,0
122,3,0,0,0,0,0,0
123,1,17,43,60,3758,41210,44968
125,2,6,7,13,2945,0,2945
126,1,7,14,21,117,2602,2719
128,3,0,0,0,0,0,0
129,1,0,0,0,0,0,0
130,1,0,0,0,0,0,0
132,1,0,0,0,0,0,0
134,4,0,0,0,0,0,0
136,3,0,0,0,0,0,0
141,8,0,0,0,0,0,0
142,2,0,0,0,0,0,0
143,2,0,0,0,0,0,0
146,2,0,0,0,0,0,0
154,102,21,41,62,2396,40448,42844
155,2,0,0,0,0,0,0
156,0,7,10,17,1826,767,2593
158,0,2,4,6,39,171,210
aggregate,528,565,286,851,31788,185711,217499
average,3.34177,3.57595,1.81013,5.38608,201.19,1175.39,1376.58
