time,# of other packets,# of uplink PG packets,# of downlink PG packets,# of total PG packets,uplink PG BW,downlink PG BW,total PG BW
0,2,0,0,0,0,0,0
3,1,0,0,0,0,0,0
4,2,0,0,0,0,0,0
5,1,0,0,0,0,0,0
6,3,0,0,0,0,0,0
7,1,0,0,0,0,0,0
10,0,9,39,48,2332,41411,43743
11,2,0,0,0,0,0,0
12,2,0,0,0,0,0,0
17,2,0,0,0,0,0,0
18,2,0,0,0,0,0,0
19,2,0,0,0,0,0,0
20,0,15,49,64,5257,41227,46484
21,2,0,0,0,0,0,0
27,1,0,0,0,0,0,0
28,1,0,0,0,0,0,0
30,2,0,0,0,0,0,0
32,0,2,2,4,0,0,0
33,2,11,12,23,2173,3801,5974
34,0,1,1,2,0,169,169
35,1,0,0,0,0,0,0
37,1,0,0,0,0,0,0
38,4,2,0,2,1333,0,1333
39,2,2,7,9,39,1138,1177
42,2,0,0,0,0,0,0
43,1,0,0,0,0,0,0
46,1,0,0,0,0,0,0
51,3,0,0,0,0,0,0
55,1,0,0,0,0,0,0
59,2,0,0,0,0,0,0
60,3,4,0,4,3511,0,3511
61,0,3,10,13,39,3440,3479
63,3,0,0,0,0,0,0
66,2,0,0,0,0,0,0
67,2,0,0,0,0,0,0
68,5,0,0,0,0,0,0
69,43,0,0,0,0,0,0
70,11,0,0,0,0,0,0
72,4,0,0,0,0,0,0
76,1,0,0,0,0,0,0
79,4,0,0,0,0,0,0
80,2,0,0,0,0,0,0
81,2,0,0,0,0,0,0
84,2,0,0,0,0,0,0
93,2,0,0,0,0,0,0
94,0,2,2,4,0,0,0
95,2,12,13,25,2349,3970,6319
99,2,3,3,6,1861,0,1861
100,0,4,7,11,39,3609,3648
101,2,0,0,0,0,0,0
102,2,0,0,0,0,0,0
105,2,0,0,0,0,0,0
106,4,0,0,0,0,0,0
110,1,0,0,0,0,0,0
111,1,0,0,0,0,0,0
112,1,0,0,0,0,0,0
113,1,0,0,0,0,0,0
114,2,0,0,0,0,0,0
120,0,9,12,21,2164,3287,5451
122,2,0,0,0,0,0,0
123,2,0,0,0,0,0,0
126,2,0,0,0,0,0,0
127,55,0,0,0,0,0,0
128,1,0,0,0,0,0,0
129,1,0,0,0,0,0,0
131,1,0,0,0,0,0,0
132,3,0,0,0,0,0,0
133,1,0,0,0,0,0,0
134,13,4,3,7,63,0,63
135,2,0,0,0,0,0,0
136,2,0,0,0,0,0,0
140,1,5,5,10,3583,0,3583
141,0,3,7,10,39,3570,3609
143,2,0,0,0,0,0,0
144,3,0,0,0,0,0,0
146,4,0,0,0,0,0,0
147,14,0,0,0,0,0,0
148,4,0,0,0,0,0,0
149,20,0,0,0,0,0,0
150,4,0,0,0,0,0,0
151,2,0,0,0,0,0,0
152,23,0,0,0,0,0,0
153,34,0,0,0,0,0,0
155,0,2,2,4,0,0,0
156,2,0,0,0,0,0,0
157,4,6,5,11,269,147,416
158,1,0,0,0,0,0,0
159,0,1,1,2,292,0,292
160,26,8,8,16,3445,419,3864
161,17,3,6,9,39,3494,3533
162,49,0,0,0,0,0,0
163,195,0,0,0,0,0,0
164,75,0,0,0,0,0,0
165,118,0,0,0,0,0,0
166,22,0,0,0,0,0,0
167,154,0,0,0,0,0,0
168,25,0,0,0,0,0,0
169,122,0,0,0,0,0,0
170,47,0,0,0,0,0,0
171,121,0,0,0,0,0,0
172,11,0,0,0,0,0,0
174,309,0,0,0,0,0,0
177,4,0,0,0,0,0,0
179,1,0,0,0,0,0,0
180,0,9,12,21,3605,3426,7031
181,6,4,7,11,1404,2139,3543
182,8,0,0,0,0,0,0
183,301,0,0,0,0,0,0
184,395,0,0,0,0,0,0
185,81,0,0,0,0,0,0
186,25,0,0,0,0,0,0
187,367,0,0,0,0,0,0
188,150,0,0,0,0,0,0
189,53,0,0,0,0,0,0
190,11,0,0,0,0,0,0
191,25,0,0,0,0,0,0
192,75,0,0,0,0,0,0
193,1,0,0,0,0,0,0
199,2,0,0,0,0,0,0
202,8,0,0,0,0,0,0
204,2,0,0,0,0,0,0
207,2,0,0,0,0,0,0
208,2,0,0,0,0,0,0
210,0,6,5,11,3934,0,3934
211,2,7,39,46,39,41185,41224
213,2,26,28,54,3798,7326,11124
219,4,0,0,0,0,0,0
220,11,3,3,6,0,0,0
221,0,11,10,21,2042,566,2608
223,5,0,0,0,0,0,0
228,4,0,0,0,0,0,0
229,2,0,0,0,0,0,0
230,1,0,0,0,0,0,0
231,2,0,0,0,0,0,0
232,3,0,0,0,0,0,0
233,1,0,0,0,0,0,0
aggregate,3202,914,298,1212,42912,164324,207236
average,13.7425,3.92275,1.27897,5.20172,184.172,705.253,889.425
