time,# of other packets,# of uplink PG packets,# of downlink PG packets,# of total PG packets,uplink PG BW,downlink PG BW,total PG BW
0,2,0,0,0,0,0,0
7,2,8,5,13,4263,0,4263
8,4,14,39,53,39,40806,40845
9,2,0,0,0,0,0,0
11,6,0,0,0,0,0,0
12,1,0,0,0,0,0,0
13,1,0,0,0,0,0,0
14,1,0,0,0,0,0,0
15,1,0,0,0,0,0,0
16,0,2,2,4,0,0,0
17,6,8,9,17,636,3551,4187
18,2,14,16,30,6186,2301,8487
19,1,2,8,10,39,781,820
20,7,0,0,0,0,0,0
21,6,0,0,0,0,0,0
23,4,0,0,0,0,0,0
27,4,0,0,0,0,0,0
28,1,0,0,0,0,0,0
29,3,0,0,0,0,0,0
36,1,0,0,0,0,0,0
37,1,0,0,0,0,0,0
38,2,0,0,0,0,0,0
39,2,0,0,0,0,0,0
41,3,0,0,0,0,0,0
42,2,0,0,0,0,0,0
44,1,0,0,0,0,0,0
45,1,0,0,0,0,0,0
47,2,0,0,0,0,0,0
53,1,0,0,0,0,0,0
54,1,0,0,0,0,0,0
56,1,0,0,0,0,0,0
57,1,0,0,0,0,0,0
58,1,0,0,0,0,0,0
59,2,0,0,0,0,0,0
60,3,0,0,0,0,0,0
62,2,0,0,0,0,0,0
63,2,0,0,0,0,0,0
64,1,0,0,0,0,0,0
70,1,0,0,0,0,0,0
71,2,0,0,0,0,0,0
72,3,0,0,0,0,0,0
73,1,0,0,0,0,0,0
74,1,0,0,0,0,0,0
78,0,2,2,4,0,0,0
79,2,7,8,15,344,3551,3895
80,2,6,6,12,3663,419,4082
81,2,0,0,0,0,0,0
83,2,0,0,0,0,0,0
84,2,0,0,0,0,0,0
93,2,0,0,0,0,0,0
97,1,0,0,0,0,0,0
99,1,12,18,30,3648,5718,9366
101,5,0,0,0,0,0,0
102,2,0,0,0,0,0,0
105,2,0,0,0,0,0,0
107,2,0,0,0,0,0,0
108,2,0,0,0,0,0,0
111,4,0,0,0,0,0,0
114,2,0,0,0,0,0,0
120,2,0,0,0,0,0,0
122,2,0,0,0,0,0,0
123,2,0,0,0,0,0,0
126,2,0,0,0,0,0,0
130,0,10,42,52,2516,40158,42674
131,5,112,832,944,1012,1165809,1166821
133,0,8,14,22,1610,949,2559
135,2,0,0,0,0,0,0
138,2,7,11,18,3318,2507,5825
139,1,0,0,0,0,0,0
140,2,2,2,4,0,0,0
141,5,9,9,18,636,3551,4187
142,0,3,3,6,1209,419,1628
143,3,0,0,0,0,0,0
144,3,0,0,0,0,0,0
147,5,0,0,0,0,0,0
148,1,0,0,0,0,0,0
156,4,0,0,0,0,0,0
aggregate,166,747,1026,1773,28598,1270520,1299118
average,1.0641,4.78846,6.57692,11.3654,183.321,8144.36,8327.68
